name	sum_counts	year
quai de la marne	1158721	2019
rue Julia Bartet	643963	2019
Avenue d’Italie N-S	28805	2019
avenue d’Italie S-N	31687	2019
face au 4 avenue de la porte de Bagnolet	72386	2019
quai de la Tournelle	1386421	2020
85 quai d’Austerlitz	1049311	2020
Pont des Invalides	512900	2022
avenue de la porte de Bagnolet	627511	2022
Cours la Reine	548965	2024
boulevard Masséna	1199740	2024
73 boulevard de Sébastopol	4896216	2024
avenue des Champs Elysées	1349285	2024
boulevard Richard Lenoir	2198296	2024
boulevard Brune	1036767	2024
quai de Grenelle	1459731	2024
boulevard de Magenta	3899103	2024
boulevard du Montparnasse	900447	2024
avenue de la  Porte des Ternes	233263	2024
Pont National	1134493	2024
rue Lecourbe	955238	2024
avenue de la  Porte des Ternes O-E	0	2016
avenue de la porte de Charenton	435917	2020
boulevard Saint Germain	535480	2022
quai de Bercy	719285	2022
rue Julia Bartet	991363	2022
avenue de la Porte des Ternes E-O	0	2016
boulevard Auguste Blanqui NE-SO	306568	2020
quai de la marne	1844011	2022
boulevard du Général Martial Valin	911489	2023
boulevard Kellermann	493519	2023
boulevard Voltaire SE-NO	0	2016
rue Saint Jacques N-S	0	2016
quai de l’Oise	42963	2018
Boulevard Diderot	206182	2018
Boulevard Saint Germain NO-SE	93004	2018
Pont National SO-NE	6998	2018
Pont du Garigliano NO-SE	21086	2018
Pont du Garigliano SE-NO	10777	2018
rue Saint Jacques (temporaire)	0	2022
quai de l’Oise	1060825	2023
boulevard Richard Lenoir  S-N	0	2017
avenue de la Grande Armée	581314	2023
avenue de Flandre SO-NE	0	2017
avenue de la Grande Armée SE-NO	188860	2020
rue Lecourbe NE-SO	443981	2020
boulevard Saint Michel S-N	0	2016
boulevard Richard Lenoir  S-N	54	2019
boulevard de Magenta NO-SE	1390057	2021
Rue De Sèvres	745588	2021
Pont des Invalides S-N	0	2016
avenue de Flandre SO-NE	52	2019
Pont des Invalides N-S	186959	2021
quai François Mauriac	886331	2020
boulevard Diderot E-O	402864	2020
quai de Bercy	17	2019
boulevard Richard Lenoir N-S	949104	2021
boulevard de Ménilmontant	1454433	2023
boulevard Jourdan	1110085	2023
avenue d’Italie S-N	0	2017
Voie Georges Pompidou	900662	2020
Quai des Tuileries	1242771	2022
avenue de la porte de Bagnolet	6	2019
boulevard de Ménilmontant SE-NO	1002280	2021
boulevard Saint Germain NO-SE	338107	2020
avenue de Flandre SO-NE	0	2016
boulevard Voltaire SE-NO	782517	2019
Boulevard Diderot E-O	323506	2019
face au 8 avenue de la porte de Charenton	67179	2019
Rue La Fayette O-E	386290	2019
Pont Charles De Gaulle	28349	2019
rue de la Chapelle	16607	2019
Avenue Daumesnil SE-NO	381752	2019
Cours la Reine	1057544	2020
64 Rue de Rivoli	2690361	2021
Pont Charles De Gaulle	795325	2022
quai D’Issy	262472	2022
avenue de la porte de Charenton	150678	2024
	23115032	2024
quai de la Tournelle	2302170	2024
quai François Mauriac	1163957	2024
85 quai d’Austerlitz	1818780	2024
Pont des Invalides (couloir bus)	498593	2024
Voie Georges Pompidou	1034344	2024
boulevard Richard Lenoir  S-N	0	2016
Pont des Invalides S-N	0	2017
Avenue Denfert Rochereau NE-SO	333931	2019
avenue de la Porte D’Orléans S-N	25317	2020
boulevard Diderot	266445	2021
quai de l’Hôtel de Ville	541753	2021
avenue de Flandre	1327417	2022
boulevard Voltaire NO-SE	295182	2018
boulevard du Montparnasse	663823	2020
Boulevard Ornano S-N	218418	2021
Pont du Garigliano	368214	2021
rue de la Chapelle	64167	2022
rue d’Aubervilliers	955096	2023
rue Saint Jacques N-S	0	2017
Bd Richard Lenoir N-S	27015	2018
Avenue Denfert Rochereau SO-NE	188044	2018
Boulevard du Montparnasse	24259	2018
quai de Grenelle	1018940	2020
quai D’Issy	1	2019
Quai d’Orsay	1551261	2021
Boulevard Ornano (temporaire)	0	2022
avenue de la  Porte des Ternes O-E	0	2017
Avenue Daumesnil SE-NO	0	2017
Pont de Bercy	642430	2021
avenue Denfert Rochereau	281421	2021
rue La Fayette	412404	2021
rue Turbigo	2285479	2023
avenue de la Grande Armée NO-SE	233606	2020
avenue de la Porte des Ternes E-O	3	2019
avenue des Champs Elysées NO-SE	544557	2020
avenue de Flandre NE-SO	582728	2020
avenue des Champs Elysées SE-NO	408597	2020
